instrument,trade_count,long_count,short_count,gross_pnl,fees,slippage,net_pnl,net_return_contribution,profit_factor,win_rate,average_win,average_loss,expectancy,average_holding_period_hours,turnover,gross_exposure_sum_entry,max_drawdown_contribution,cost_drag,share_of_total_pnl,share_of_total_cost_drag,rank_by_net_pnl,rank_by_neg_drawdown_contrib,rank_by_cost_drag,rank_by_trade_count
WLD,12,0,12,6.374380114932443,0.3880912534677704,0.1940456267338852,5.792243234730789,0.0005792243234730789,2.139485932494852,0.08333333333333333,10.875450556166463,-0.4621097564941522,0.4826869362275657,206.91666666666666,388.0912534677705,197.23281679135147,0.0,0.5821368802016555,0.24908737972854006,0.025443676905825066,11,109,3,3
NEO,3,0,3,5.7718540392483995,0.09535387287791233,0.047676936438956166,5.62882322993153,0.0005628823229931531,6.939087214054835,0.3333333333333333,6.576582208215421,-0.47387948914194544,1.8762744099771769,944.6666666666666,95.35387287791235,50.56286345858038,0.0,0.1430308093168685,0.24205972927584551,0.006251501706224876,12,107,71,66
IOST,7,1,6,5.34893015923244,0.2271400745563712,0.1135700372781856,5.008220047397883,0.0005008220047397883,2.7820554043085184,0.14285714285714285,7.818581630595233,-0.4683935971995585,0.7154600067711261,371.14285714285717,227.14007455637116,116.66823117136113,0.0,0.3407101118345568,0.21537155090971655,0.014891545783979577,13,103,18,14
CRO,3,1,2,4.939643302851881,0.09533964008507169,0.047669820042535845,4.796633842724274,0.00047966338427242743,6.0677861457691975,0.3333333333333333,5.743128762745457,-0.4732474600105913,1.598877947574758,929.0,95.33964008507171,50.563370507521114,0.0,0.14300946012760754,0.20627257989398964,0.0062505685891312305,14,101,72,56
MERL,15,1,14,3.5707791922945393,0.48458123171449136,0.24229061585724568,2.843907344722803,0.0002843907344722803,1.4433457879585596,0.06666666666666667,9.258555734229162,-0.45818917067902565,0.1895938229815202,184.6,484.5812317144915,244.49973426695232,0.0,0.7268718475717371,0.1222982875512266,0.03176966289294173,15,104,1,1
STX,14,1,13,0.5498533464949293,0.45626971183134835,0.22813485591567417,-0.13455122125209407,-1.3455122125209406e-05,0.9774731618540734,0.07142857142857142,5.838378507300353,-0.45945613296557286,-0.00961080151800672,196.5,456.2697118313485,228.833511402481,-1.3455122125209406e-05,0.6844045677470225,-0.005786188490842421,0.029913529423859685,16,100,2,2
XLM,6,0,6,-0.06680213864377116,0.20062659001029284,0.10031329500514642,-0.3677420236592104,-3.6774202365921035e-05,0.8434847823981008,0.16666666666666666,1.9818188004810482,-0.4699121648280517,-0.061290337276535066,409.6666666666667,200.62659001029286,100.27989393582455,-3.6774202365921035e-05,0.3009398850154393,-0.015814235241383277,0.013153293431188467,17,99,30,30
BNB,1,1,0,-0.423728813559322,0.033474576271186295,0.016737288135593147,-0.4739406779661015,-4.739406779661015e-05,0.0,0.0,0.0,-0.4739406779661015,-0.4739406779661015,265.0,33.474576271186294,16.949152542372808,-4.739406779661015e-05,0.05021186440677944,-0.020381160948747847,0.0021946289579911765,18,97,113,89
MINA,1,1,0,-0.42372881355932196,0.03347457627118633,0.016737288135593165,-0.4739406779661015,-4.739406779661015e-05,0.0,0.0,0.0,-0.4739406779661015,-0.4739406779661015,83.0,33.47457627118633,16.94915254237283,-4.739406779661015e-05,0.050211864406779494,-0.020381160948747847,0.0021946289579911787,19,98,111,93
NMR,1,1,0,-0.423728813559322,0.03347457627118633,0.016737288135593165,-0.47394067796610156,-4.739406779661016e-05,0.0,0.0,0.0,-0.47394067796610156,-0.47394067796610156,845.0,33.47457627118633,16.949152542372826,-4.739406779661016e-05,0.050211864406779494,-0.020381160948747847,0.0021946289579911787,20,96,112,95
